ID,Age,Gender,Province,Education,Religion,Employment,Ideology
R_1OpYXEFGzHRUpjM,30,A woman,Quebec,Master's degree,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,2
R_2qdrL3J618rxYW0,21,A woman,Quebec,Master's degree,Catholic,Student and working,2
R_2EcS26hqrcVYlab,21,A woman,Ontario,Some post-secondary,Catholic,Student and working,2
R_2e5nvu0UchQctgq,19,A woman,Ontario,High school,Sikh,Student and working,4
R_3nNxsyTE4FFk1qD,21,A man,Ontario,Some post-secondary,Jewish,Self-employed,2
R_12r93bwCcrge7qz,21,A woman,Ontario,Some post-secondary,Anglican,Student and working,1
R_brdMqsPTvQ5t1tL,19,A woman,Ontario,High school,Christian Reformed,Working part-time,6
R_Wumhl7QEMURFqZH,19,A man,Ontario,High school,Agnostic,Student and working,6
R_ekyQEoYoeM4wSnT,20,A woman,Ontario,Some post-secondary,Muslim,Student,1
R_1IFNIX3MUwugUnq,19,A woman,Ontario,High school,None/Atheist,Student and working,4
R_2D1btcWaARAVdfl,19,A woman,Ontario,Some post-secondary,Muslim,Working part-time,1
R_3CTxtRUVlnuZwR9,22,A woman,Ontario,Some high school,Orthodox Christian,Student,10
R_2167E4uBFwL3tIw,20,A man,Ontario,High school,Catholic,Student,9
R_yXg76X30iGa9qut,19,A woman,Ontario,Some post-secondary,Salvation Army,Student and working,2
R_2frntmrI5rljDK8,19,A woman,Ontario,Some post-secondary,Muslim,Working part-time,4
R_3O9M6HHQ8gEBBXH,19,A woman,Ontario,Some post-secondary,Protestant,Working part-time,2
R_1dN3Vkq3TrktixZ,21,A man,Ontario,Some post-secondary,Jewish,Student,3
R_2qF75AGrOr09bcd,19,A woman,Ontario,Some post-secondary,Hindu,Student,2
R_cC0HLiW6uR02Yrn,20,A man,Ontario,Some post-secondary,None/Atheist,Working full-time,5
R_2X54JdXL9ClEXcO,19,A woman,Ontario,Some post-secondary,Evangelical/Pentecostal,Working part-time,8
R_qFlWQL8QdqaEJGx,20,A woman,Ontario,Some post-secondary,Agnostic,Working full-time,2
R_1OBoexcKOfBus6F,19,A woman,Ontario,Some post-secondary,Buddhist,Working part-time,2
R_3ExQozQ6M1cj9Mw,22,A man,Ontario,Some post-secondary,Buddhist,Student and working,0
R_2ris1hIXvaSs1kB,19,A woman,Ontario,Some post-secondary,Baptist,Working part-time,3
R_1GC7IytxEE5kAHd,22,A woman,Ontario,Some high school,Don't know/ Prefer not to answer,Student,1
R_3PaYTlbmDOpZIvv,21,A woman,Ontario,High school,None/Atheist,Self-employed,2
R_21tgSP4vdCAIOGV,20,A woman,Ontario,Some post-secondary,Catholic,Working part-time,8
R_UbzsGsOza9ZJTOx,20,A woman,Ontario,Bachelor's degree,None/Atheist,Working part-time,5
R_1pM3J6xDT5H4qZH,19,A woman,Ontario,Some post-secondary,Catholic,Working part-time,6
R_3DuVTyyFTYqI55e,23,A man,Ontario,High school,Catholic,Working part-time,3
R_3Ra9kJm1JI6K4Kt,22,A man,Ontario,Some post-secondary,Catholic,Working full-time,8
R_2WuL4gwgSQ1C7ns,72,A woman,Ontario,Bachelor's degree,None/Atheist,Retired,6
R_2Xik6QTgJCpeuDg,29,A woman,Ontario,Bachelor's degree,Don't know/ Prefer not to answer,Working full-time,2
R_30e4xFgOVpu1FWz,65,A man,Alberta,Bachelor's degree,None/Atheist,Retired,4
R_2cd47pXrsZRsh1H,44,A man,Quebec,Some post-secondary,Catholic,Disabled,9
