post_id,author_handle,author_name,classification,text,date_posted,language
3ldmkx3iibs2w,anitaanandmp.bsky.social,Anita Anand,Policy,"Frontline public servants work hard every day to keep Canadians safe.

#FES2024 is making sure their service is recognized by expanding the ""25 and out"" policy, allowing them to retire after 25 years without any pension reductions.",2024-12-19,English
3ldmkw3rvic2w,anitaanandmp.bsky.social,Anita Anand,Policy,"Les agents de première ligne travaillent dur chaque jour pour assurer la sécurité des Canadiens.

L'#EEP2024 veille à ce que leur service soit reconnu en élargissant la politique ""25 ans et retraite"", leur permettant de prendre leur retraite après 25 ans sans aucune réduction de pension.",2024-12-19,French
3ld5ouyuulk2k,anitaanandmp.bsky.social,Anita Anand,Partisan,https://bsky.app/profile/anitaanandmp.bsky.social/post/3ld5ouyuulk2k,2024-12-13,English
3ldtoxsfdlc2e,charlieangus104.bsky.social,Charlie Angus,Partisan,"Pierre Poilievre rants about the elites and insiders.
The guy has never had a job other than politician.
He lives in a 19 room mansion with his own chef -- all paid for by the taxpayers.
Come with me on a journey to Stornoway where the real political elitist lives.

www.youtube.com/watch?v=A6ZH...",2024-12-21,English
3ldth5uftzs25,charlieangus104.bsky.social,Charlie Angus,Personal,"If you're in Northern Ontario bundle up and stay off the roads tonight if you can.
-40 is serious business.",2024-12-21,English
3ldtgxgeaw224,charlieangus104.bsky.social,Charlie Angus,Personal,"Me hanging with the birds of Bogota, with a little help from the Trashmen. 
www.youtube.com/watch?v=QatQ...",2024-12-21,English
3ldt5z5crrs2r,charlieangus104.bsky.social,Charlie Angus,Personal,"If you haven't picked up a copy of Dangerous Memory yet you could check out the podcast that explores some of the themes.
On episode three I look at the grassroots resistance to the nuclear madness of the 1980s.

charlieangus1.podbean.com/e/how-a-pop-...",2024-12-21,English
3ldswdyuvlk2o,charlieangus104.bsky.social,Charlie Angus,Personal,"Song of the day: Coldest Night of the Year - Yashti Bunyan
Happy Solstice. It is the darkest night of the year and at -28 it is the coldest night so far in the north country.

www.youtube.com/watch?v=eCcB...",2024-12-21,English
3ldrdnrtw3c2i,charlieangus104.bsky.social,Charlie Angus,Ottawa Bubble,"Check out my latest on @meidastouch.bsky.social on standing up to Trump as Canada's political leaders descend into internal fighting.
Canadians want elected representatives who are focused on doing the hard work rather than fighting about who sits in the comfy chairs.
www.youtube.com/watch?v=vj-v...",2024-12-20,English
3ldr5pypbos2q,charlieangus104.bsky.social,Charlie Angus,Policy,Thoughts on standing up for Canada and to Trump.,2024-12-20,English
