honorific_title,name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
NA,Scott Aitchison,Man,scottaitchison.bsky.social,https://bsky.app/profile/scottaitchison.bsky.social,Inactive,Conservative,Parry Sound—Muskoka,Ontario
Hon.,Anita Anand,Woman,anitaanandmp.bsky.social,https://bsky.app/profile/anitaanandmp.bsky.social,Active,Liberal,Oakville,Ontario
NA,Charlie Angus,Man,charlieangus104.bsky.social,https://bsky.app/profile/charlieangus104.bsky.social,Active,NDP,Timmins—James Bay,Ontario
NA,Chandra Arya,Man,aryacanada.bsky.social,https://bsky.app/profile/aryacanada.bsky.social,Active,Liberal,Nepean,Ontario
NA,Niki Ashton,Woman,nikiashton.bsky.social,https://bsky.app/profile/nikiashton.bsky.social,Inactive,NDP,Churchill—Keewatinook Aski,Manitoba
NA,Taylor Bachrach,Man,taylorbachrach.bsky.social,https://bsky.app/profile/taylorbachrach.bsky.social,Active,NDP,Skeena—Bulkley Valley,British Columbia
NA,Parm Bains,Man,pbainsy.bsky.social,https://bsky.app/profile/pbainsy.bsky.social,Inactive,Liberal,Steveston—Richmond East,British Columbia
NA,Lisa Marie Barron,Woman,lisamariebarron.bsky.social,https://bsky.app/profile/lisamariebarron.bsky.social,Active,NDP,Nanaimo—Ladysmith,British Columbia
Hon.,Terry Beech,Man,terrybeech.bsky.social,https://bsky.app/profile/terrybeech.bsky.social,Active,Liberal,Burnaby North—Seymour,British Columbia
Hon.,Rachel Bendayan,Woman,rachelbendayan.bsky.social,https://bsky.app/profile/rachelbendayan.bsky.social,Active,Liberal,Outremont,Quebec
NA,Luc Berthold,Man,lucberthold.bsky.social,https://bsky.app/profile/lucberthold.bsky.social,Active,Conservative,Mégantic—L'Érable,Quebec
NA,Sylvie Bérubé,Woman,sylvieberube.bsky.social,https://bsky.app/profile/sylvieberube.bsky.social,Active,Bloc Québécois,Abitibi—Baie-James—Nunavik—Eeyou,Quebec
NA,Chris Bittle,Man,chrisbittle.bsky.social,https://bsky.app/profile/chrisbittle.bsky.social,Active,Liberal,St. Catharines,Ontario
NA,Yves-François Blanchet,Man,yfblanchet.bsky.social,https://bsky.app/profile/yfblanchet.bsky.social,Active,Bloc Québécois,Beloeil—Chambly,Quebec
NA,Maxime Blanchette-Joncas,Man,mbjdepute.bsky.social,https://bsky.app/profile/mbjdepute.bsky.social,Active,Bloc Québécois,Rimouski-Neigette—Témiscouata—Les Basques,Quebec
NA,Rachel Blaney,Woman,rachelreading.bsky.social,https://bsky.app/profile/rachelreading.bsky.social,Inactive,NDP,North Island—Powell River,British Columbia
Hon.,Randy Boissonnault,Man,rboissonnault.bsky.social,https://bsky.app/profile/rboissonnault.bsky.social,Active,Liberal,Edmonton Centre,Alberta
NA,Alexandre Boulerice,Man,alexboulerice.bsky.social,https://bsky.app/profile/alexboulerice.bsky.social,Active,NDP,Rosemont—La Petite-Patrie,Quebec
NA,Valerie Bradford,Woman,valbradfordmp.bsky.social,https://bsky.app/profile/valbradfordmp.bsky.social,Active,Liberal,Kitchener South—Hespeler,Ontario
NA,Alexis Brunelle-Duceppe,Man,alexisduceppe.bsky.social,https://bsky.app/profile/alexisduceppe.bsky.social,Active,Bloc Québécois,Lac-Saint-Jean,Quebec
NA,Richard Cannings,Man,dickcannings.bsky.social,https://bsky.app/profile/dickcannings.bsky.social,Active,NDP,South Okanagan—West Kootenay,British Columbia
NA,Ben Carr,Man,bencarrwpg.bsky.social,https://bsky.app/profile/bencarrwpg.bsky.social,Inactive,Liberal,Winnipeg South Centre,Manitoba
NA,Martin Champoux,Man,martchampoux.bsky.social,https://bsky.app/profile/martchampoux.bsky.social,Active,Bloc Québécois,Drummond,Quebec
NA,Sophie Chatel,Woman,sophiechatel.bsky.social,https://bsky.app/profile/sophiechatel.bsky.social,Active,Liberal,Pontiac,Quebec
NA,Shaun Chen,Man,shaunchenmp.bsky.social,https://bsky.app/profile/shaunchenmp.bsky.social,Active,Liberal,Scarborough North,Ontario
NA,Paul Chiang,Man,paulchiang.bsky.social,https://bsky.app/profile/paulchiang.bsky.social,Inactive,Liberal,Markham—Unionville,Ontario
NA,Chad Collins,Man,chadcollins.bsky.social,https://bsky.app/profile/chadcollins.bsky.social,Inactive,Liberal,Hamilton East—Stoney Creek,Ontario
NA,Laurel Collins,Woman,laurelcollins.bsky.social,https://bsky.app/profile/laurelcollins.bsky.social,Active,NDP,Victoria,British Columbia
